Fri Nov 13 06:00:01 CET 2015 06:00:01 up 18:36, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 06:10:01 CET 2015 06:10:01 up 18:46, 0 users, load average: 0.10, 0.04, 0.05
Fri Nov 13 06:20:01 CET 2015 06:20:01 up 18:56, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 06:30:01 CET 2015 06:30:01 up 19:06, 0 users, load average: 0.00, 0.02, 0.05
Fri Nov 13 06:40:01 CET 2015 06:40:01 up 19:16, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 06:50:01 CET 2015 06:50:01 up 19:26, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 07:00:01 CET 2015 07:00:01 up 19:36, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 07:10:01 CET 2015 07:10:01 up 19:46, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 07:20:01 CET 2015 07:20:01 up 19:56, 0 users, load average: 0.08, 0.03, 0.05
Fri Nov 13 07:30:01 CET 2015 07:30:01 up 20:06, 0 users, load average: 0.03, 0.03, 0.05
Fri Nov 13 07:40:01 CET 2015 07:40:01 up 20:16, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 07:50:01 CET 2015 07:50:01 up 20:26, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 08:00:01 CET 2015 08:00:01 up 20:36, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 08:10:02 CET 2015 08:10:02 up 20:46, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 08:20:01 CET 2015 08:20:01 up 20:56, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 08:30:01 CET 2015 08:30:01 up 21:06, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 08:40:01 CET 2015 08:40:01 up 21:16, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 08:50:01 CET 2015 08:50:01 up 21:26, 0 users, load average: 0.01, 0.02, 0.05
Fri Nov 13 09:00:01 CET 2015 09:00:01 up 21:36, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 09:10:01 CET 2015 09:10:01 up 21:46, 0 users, load average: 0.05, 0.03, 0.05
Fri Nov 13 09:20:01 CET 2015 09:20:01 up 21:56, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 09:30:01 CET 2015 09:30:01 up 22:06, 0 users, load average: 0.00, 0.01, 0.05
